232488, 4657, 925, 1418, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232524, 4193, 834, 3163, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232561, 5716, -466, 2578, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232598, 3445, 589, 839, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232635, 4045, 874, 949, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232672, 4243, 217, 895, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232709, 4066, 606, 491, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232746, 4075, 464, 512, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232783, 4110, 441, 413, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232820, 4139, 570, 401, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232857, 4088, 584, 303, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232894, 4131, 514, 265, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232936, 4116, 456, 206, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
232979, 4092, 637, 171, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
233022, 4029, 729, 184, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
233065, 4072, 864, 69, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
233108, 4090, 183, 121, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
