83680, 3189, 1386, 2496, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83718, 4163, 1753, 2758, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83756, 5278, 789, 2441, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83795, 5515, 71, 2871, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83833, 4952, 5106, 2133, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83872, 2334, 2528, 1675, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83911, 3809, 1426, 1112, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83949, 2948, 888, 1091, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83988, 2961, 550, 896, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84026, 3437, 549, 536, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84065, 3579, 566, 687, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84104, 3392, 736, 480, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84146, 3428, 1306, 246, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84188, 3776, 2044, 584, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84230, 3758, 2400, 660, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84272, 4202, 1959, 804, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84314, 4037, 1938, 879, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84356, 3660, 1781, 963, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84398, 3250, 2017, 1051, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84440, 3086, 2160, 1055, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84482, 3085, 2979, 729, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84524, 3070, 3256, 1004, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84559, 2883, 3429, 1080, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84595, 2752, 3620, 1048, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84631, 2754, 3411, 1258, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84667, 2485, 3069, 1526, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84703, 2722, 3017, 1967, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84739, 2487, 2760, 2362, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84775, 1839, 2579, 2266, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84811, 1356, 3464, 2035, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84847, 910, 2885, 1612, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84883, 877, 2225, 2085, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84919, 715, 1997, 2347, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84959, 759, 2573, 2294, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
84999, 1248, 3690, 1524, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85039, 498, 3071, 1363, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85079, 294, 3357, 982, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85119, -213, 2863, 1487, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85159, -158, 2292, 1759, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85199, 572, 2899, 2110, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85239, 333, 4078, 202, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85279, 392, 3977, -61, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85319, 240, 4067, -754, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85354, 316, 4585, -339, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85389, 203, 4552, -689, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85425, 302, 4833, -1213, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85460, 328, 4251, -827, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
85496, 426, 3845, -662, 65, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
