183987, 3104, 1324, 2540, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184027, 3418, 1407, 1850, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184067, 3209, 593, 1724, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184108, 3230, 1163, 1682, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184146, 3661, 1585, 937, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184185, 3889, 1040, 151, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184224, 4766, 1098, -37, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184263, 4464, 1331, -1094, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184302, 4850, 811, 123, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184340, 3963, 474, -59, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184379, 3685, 707, 331, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184418, 3240, 412, 348, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184457, 3348, 1034, 168, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184496, 3285, 774, 177, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184535, 3700, 1537, 77, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184571, 4057, 1556, 114, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184608, 4604, 1424, 420, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184645, 4855, 1670, 184, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184681, 4690, 2764, 75, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184718, 4647, 3001, 493, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184755, 4932, 2930, 1066, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184791, 4533, 3074, 1291, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184828, 3938, 3646, 1415, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184865, 3171, 3215, 1623, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184902, 2352, 3181, 1849, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184942, 2129, 3199, 2195, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
184983, 1558, 3030, 2527, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185023, 1179, 3300, 2515, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185064, 52, 2141, 2557, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185105, -878, 773, 967, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185145, -1854, -555, 118, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185186, -2397, -1011, -16, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185226, -3460, -1525, -204, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185267, -3049, -1803, -117, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185308, -3104, -1535, -605, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185345, -2526, -1068, -416, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185382, -1704, -649, -367, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185420, -467, 48, -432, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185457, 1978, 2680, 1098, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185494, 4229, 8393, 869, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
