211772, 3674, 961, 301, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211813, 3839, 1274, 155, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211854, 4056, 688, 617, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211895, 4468, 910, 688, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211936, 4965, 1092, 626, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211977, 5085, 1091, 646, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212012, 5307, 2105, 291, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212048, 5656, 2544, 385, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212083, 5165, 2635, 176, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212119, 4387, 2956, 461, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212155, 3603, 3627, 867, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212190, 2766, 4367, 870, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212226, 2157, 3556, 881, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212261, 1115, 4434, 1274, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212297, 351, 3670, 1222, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212333, -450, 3414, 1335, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212368, -956, 3002, 1209, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212404, -1881, 1636, 1211, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212440, -2268, 1298, 1294, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212477, -2594, -233, 1100, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212515, -2903, 162, 1123, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212553, -2437, -668, 923, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212591, -2234, -1410, 586, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212629, -1850, -1155, 432, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212667, -1957, -2654, 216, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212705, -1885, -2704, -228, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212743, -1676, -2765, 81, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212781, -1674, -1931, 403, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212819, -2060, -962, 568, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212857, -2667, 1009, 1302, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212895, -3560, 1179, 2425, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212933, -3812, 857, 2041, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
212970, -2730, 2380, 1363, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213008, -2553, 4195, 1594, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213046, -2488, 4685, 348, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213084, -2217, 5240, 1233, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213122, -3539, 5244, 627, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213160, -811, 4541, -609, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213198, -1860, 5275, -1415, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213236, -664, 4292, -615, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213274, -1060, 3829, -402, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213312, -857, 4034, -665, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213350, -848, 3692, -680, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213388, -979, 4230, -523, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213426, -1011, 4360, -656, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213465, -717, 3422, -1014, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213504, -833, 2943, -601, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213543, -683, 3621, -799, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213582, -528, 3087, -992, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213622, -554, 3918, -1212, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213661, -524, 3754, -889, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213700, -1147, 3961, -1449, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213739, -1083, 4137, -1643, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213779, -1236, 3714, -1106, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213818, -696, 3775, -1497, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213857, -707, 3717, -1494, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213896, -529, 3620, -1582, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213936, -601, 3324, -1387, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
213974, -662, 3499, -1337, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
214012, -906, 3438, -1540, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
214050, -719, 3879, -1533, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
214089, -668, 4045, -1925, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
214127, -739, 3746, -1974, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
214165, -669, 3801, -1907, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
214204, -691, 3549, -1960, 102, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
