91341, -1128, 4056, 163, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91381, -1088, 3800, 28, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91421, -1147, 3911, -271, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91461, -1101, 3926, -341, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91501, -1013, 3865, -465, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91541, -992, 3991, -618, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91582, -922, 3737, -632, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91622, -921, 3991, -958, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91662, -814, 3811, -1080, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91702, -853, 3760, -1208, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91742, -919, 3944, -1227, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91783, -781, 3655, -1241, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91821, -842, 3656, -1397, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91859, -868, 3852, -1525, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91897, -724, 3524, -1522, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91935, -795, 3631, -1327, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91973, -887, 3952, -1696, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92011, -795, 3709, -1609, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92049, -774, 3678, -1488, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
