446369, 3044, 575, -2711, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446406, 3034, 558, -2679, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446444, 3044, 555, -2702, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446481, 3041, 551, -2676, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446519, 3058, 603, -2698, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446559, 3058, 558, -2688, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446599, 3069, 558, -2678, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446639, 3056, 607, -2690, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446679, 3096, 573, -2682, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446719, 3192, 547, -2651, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446759, 3312, 527, -2628, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
446799, 3234, 672, -2628, 69, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
