420015, -904, 3826, -1155, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420054, -869, 3823, -1140, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420093, -891, 3835, -1156, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420132, -863, 3874, -1168, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420171, -869, 3812, -1154, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420210, -895, 3817, -1116, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420249, -873, 3824, -1139, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420289, -890, 3849, -1138, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420328, -888, 3856, -1132, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420367, -897, 3845, -1144, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420406, -896, 3825, -1152, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420445, -909, 3779, -1105, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420485, -891, 3816, -1144, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420526, -888, 3789, -1088, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420567, -866, 3818, -1143, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420608, -921, 3847, -1132, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420649, -913, 3786, -1136, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420690, -899, 3818, -1075, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420731, -911, 3831, -1154, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420772, -933, 3795, -1145, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420813, -916, 3814, -1127, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420854, -916, 3879, -1126, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420895, -897, 3842, -1133, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420936, -903, 3810, -1114, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
420972, -919, 3847, -1122, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421008, -905, 3826, -1123, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421044, -902, 3828, -1119, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421081, -916, 3835, -1135, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421117, -886, 3836, -1117, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421153, -890, 3821, -1107, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421190, -896, 3836, -1121, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421226, -901, 3829, -1123, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421262, -874, 3850, -1123, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421299, -921, 3819, -1076, 66, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421337, -896, 3833, -1105, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421375, -901, 3803, -1086, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421414, -902, 3807, -1116, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421452, -937, 3817, -1089, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421490, -920, 3860, -1101, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421529, -937, 3870, -1093, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421567, -919, 3820, -1111, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421605, -933, 3834, -1086, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421644, -934, 3844, -1102, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421682, -924, 3835, -1120, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421721, -920, 3836, -1097, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421757, -918, 3844, -1116, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421794, -918, 3822, -1123, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421831, -910, 3822, -1101, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421867, -917, 3821, -1128, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421904, -922, 3842, -1152, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421941, -936, 3853, -1126, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
421977, -909, 3824, -1123, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422014, -899, 3839, -1094, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422051, -934, 3844, -1143, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422088, -922, 3813, -1142, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422128, -914, 3798, -1104, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422169, -897, 3847, -1138, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422209, -885, 3860, -1143, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422250, -909, 3836, -1097, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422290, -889, 3846, -1116, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422331, -937, 3824, -1141, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422371, -900, 3840, -1117, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422412, -891, 3830, -1143, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422452, -908, 3845, -1128, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422493, -890, 3813, -1126, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422530, -929, 3819, -1131, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422567, -906, 3828, -1114, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422605, -910, 3822, -1158, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422642, -914, 3841, -1140, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422679, -901, 3820, -1161, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422717, -898, 3836, -1090, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422754, -938, 3891, -1160, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422791, -915, 3853, -1155, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422829, -917, 3824, -1133, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422866, -918, 3858, -1154, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422904, -916, 3876, -1145, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422942, -915, 3841, -1099, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
422981, -920, 3850, -1133, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423019, -908, 3822, -1128, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423058, -928, 3816, -1101, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423096, -922, 3793, -1103, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423135, -917, 3776, -1093, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423173, -944, 3804, -1111, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423212, -916, 3788, -1102, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423250, -919, 3789, -1101, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423289, -945, 3834, -1088, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423327, -935, 3853, -1158, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423365, -923, 3839, -1073, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423403, -920, 3840, -1132, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423441, -953, 3819, -1110, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423479, -932, 3811, -1105, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423517, -936, 3863, -1099, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423555, -901, 3851, -1155, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423593, -930, 3807, -1089, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423631, -932, 3839, -1138, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423669, -907, 3821, -1103, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423707, -938, 3854, -1122, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423746, -938, 3851, -1120, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423786, -912, 3805, -1118, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423825, -923, 3832, -1097, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423865, -936, 3846, -1128, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423904, -934, 3830, -1098, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423944, -931, 3839, -1125, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
423983, -902, 3824, -1131, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424023, -929, 3805, -1109, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424062, -932, 3825, -1157, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424102, -925, 3823, -1124, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424140, -911, 3837, -1131, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424179, -907, 3828, -1116, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424217, -906, 3825, -1132, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424256, -910, 3830, -1098, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424294, -924, 3841, -1151, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424333, -906, 3833, -1104, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424371, -926, 3841, -1126, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424410, -928, 3837, -1124, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424448, -908, 3827, -1104, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424487, -946, 3836, -1111, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
424523, -902, 3815, -1159, 65, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
