198836, 4612, 1340, -169, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198877, 4381, 1190, 279, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198919, 4436, -2082, 1016, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198961, 3979, -1315, 699, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198994, 4333, -266, 347, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199027, 4368, 442, 104, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199060, 4218, -136, -33, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199093, 4056, 175, 96, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199126, 3820, 608, -38, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199159, 3795, 408, -110, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199192, 3877, 870, 200, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
199225, 4081, 769, 303, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
